"url","user","problem"
"https://www.hackerrank.com/rest/contests/master/challenges/equality-in-a-array/hackers/harshnikam4536/download_solution","harshnikam4536","equality-in-a-array"
"https://www.hackerrank.com/rest/contests/master/challenges/queens-attack-2/hackers/harshnikam4536/download_solution","harshnikam4536","queens-attack-2"
"https://www.hackerrank.com/rest/contests/master/challenges/acm-icpc-team/hackers/harshnikam4536/download_solution","harshnikam4536","acm-icpc-team"
"https://www.hackerrank.com/rest/contests/master/challenges/taum-and-bday/hackers/harshnikam4536/download_solution","harshnikam4536","taum-and-bday"
"https://www.hackerrank.com/rest/contests/master/challenges/organizing-containers-of-balls/hackers/harshnikam4536/download_solution","harshnikam4536","organizing-containers-of-balls"
"https://www.hackerrank.com/rest/contests/master/challenges/encryption/hackers/harshnikam4536/download_solution","harshnikam4536","encryption"
"https://www.hackerrank.com/rest/contests/master/challenges/bigger-is-greater/hackers/harshnikam4536/download_solution","harshnikam4536","bigger-is-greater"
"https://www.hackerrank.com/rest/contests/master/challenges/kaprekar-numbers/hackers/harshnikam4536/download_solution","harshnikam4536","kaprekar-numbers"
"https://www.hackerrank.com/rest/contests/master/challenges/beautiful-triplets/hackers/harshnikam4536/download_solution","harshnikam4536","beautiful-triplets"
"https://www.hackerrank.com/rest/contests/master/challenges/minimum-distances/hackers/harshnikam4536/download_solution","harshnikam4536","minimum-distances"
"https://www.hackerrank.com/rest/contests/master/challenges/halloween-sale/hackers/harshnikam4536/download_solution","harshnikam4536","halloween-sale"
"https://www.hackerrank.com/rest/contests/master/challenges/the-time-in-words/hackers/harshnikam4536/download_solution","harshnikam4536","the-time-in-words"
"https://www.hackerrank.com/rest/contests/master/challenges/chocolate-feast/hackers/harshnikam4536/download_solution","harshnikam4536","chocolate-feast"
"https://www.hackerrank.com/rest/contests/master/challenges/service-lane/hackers/harshnikam4536/download_solution","harshnikam4536","service-lane"
"https://www.hackerrank.com/rest/contests/master/challenges/lisa-workbook/hackers/harshnikam4536/download_solution","harshnikam4536","lisa-workbook"
"https://www.hackerrank.com/rest/contests/master/challenges/flatland-space-stations/hackers/harshnikam4536/download_solution","harshnikam4536","flatland-space-stations"
"https://www.hackerrank.com/rest/contests/master/challenges/fair-rations/hackers/harshnikam4536/download_solution","harshnikam4536","fair-rations"
"https://www.hackerrank.com/rest/contests/master/challenges/cavity-map/hackers/harshnikam4536/download_solution","harshnikam4536","cavity-map"
"https://www.hackerrank.com/rest/contests/master/challenges/manasa-and-stones/hackers/harshnikam4536/download_solution","harshnikam4536","manasa-and-stones"
"https://www.hackerrank.com/rest/contests/master/challenges/the-grid-search/hackers/harshnikam4536/download_solution","harshnikam4536","the-grid-search"
